# >> Output from SampleProps2TaxaClusters.pl <<
# >> Input file for the list of clusters: Clusters-NL_Average_StopStep-91_Network_BasisCor_SparCC_GT0.2_pval0.01_FunGroups_Time0_Paenibacillus.txt
# >> Input file for samples to taxa matrix: composition_otu_matched.csv
# >> Identifiers of the clusters: 
# >> :  1 2 3 5 8 13 14 16 17 18 20 22 23 24 27 28 35 39 45
# >> Labels of the clusters: 
# >> :  Yellow Red Green Orange LightGreen OliveBrown Pink Black
# >> This output file: SamplePropsOFtaxaClus_Time0_NL_Average_StopStep-91_ZscoreMean.dat
# >> Running at date:  (mm,dd,yy) 4, 3, 2021, and time: 1:6:13,
# >> Theoretical biology, ETH-Zürich, A.P-G.
#WARNING: Abundances values are LOG-transformed 
# 
Sample	C1	C2	C3	C5	C8	C13	C14	C16	C17	C18	C20	C22	C23	C24	C27	C28	C35	C39	C45	Total 
AE112	-0.211859705375461	-1.12646048027934	-0.500102678943881	-0.248305735878169	-0.438725165812076	0.420383966120885	-0.202640893649145	-0.860365278700741	-0.26036579360218	-1.44354305679547	-0.121936711259766	-0.476750851126993	-0.857974975471802	-0.697465244264054	-0.768894753255975	-0.120640953106975	-0.0204178628118	-0.914837544960943	-0.865588875896985	-0.604465346125312
WYT10	0.418241848003585	0.896010715921038	1.58759864784479	-0.563490685301172	-0.438725165812076	0.825333745211998	-0.543347636242748	0.775789669250546	0.00976278237489443	0.562070238883717	-0.43991828458104	0.273505494626432	0.307080377536614	-0.697465244264054	0.422501911947764	-0.266585889369338	0.146426896088964	-0.0228253388792401	-0.268464982350125	0.0464229071154674
BB67	-0.608571951009998	0.330146992890348	-0.209655224729601	0.543541514732031	-0.241233255373133	1.9554254031285	0.164294743728282	-0.443119153424058	-0.505161009153593	-1.14588962081152	0.563738617280882	-0.476750851126993	-0.385461415430445	0.871272974529535	-0.566673690827274	-0.676081182283831	1.33962388925268	-0.0338283772158899	-0.627239260948097	-0.0501549926738444
PH04	1.53627992015144	0.117966389160043	-0.500102678943881	0.552584484081803	0.114256064582923	-0.401519772862101	0.62764615189836	0.803585404590004	0.773968775130157	0.69728386747586	-0.078038196837081	0.15764118218607	-0.379660359499435	-0.697465244264054	-0.0711787905555613	-0.360506435076904	-0.223381385559321	0.64582424832414	0.668354376561475	0.485427780805787
BWd06	-0.153194537212121	-0.0241338503127828	-0.500102678943881	-0.582800598802644	-0.438725165812076	0.0768972105203354	0.0125454449386005	0.19440000428565	-0.453449380387235	0.16687694298645	0.064172584487167	-0.0884515930945648	-0.663473655242989	-0.258410936670067	-0.163898820299283	-0.676081182283831	0.0449217973979374	-0.29318966469662	-0.452099709307842	-0.601217884508113
SAC04	-0.270227044047452	0.0431289969920824	0.955386607015828	-0.167054979805654	-0.0910542848540145	0.310585448968246	-0.249878821817527	0.0184281481984583	-0.416411995508442	-0.482948250033568	1.07422996790213	1.8443809988497	0.0929158094624778	2.36522680220768	-0.13393201908744	-0.676081182283831	-0.426344908306843	1.02982704290777	0.13943455487629	1.4913490458014
BB45	-0.482086781169569	-0.103069691361346	-0.316850738231009	0.432296854166851	-0.438725165812076	-0.202070085012834	-0.213819382571363	0.25024821525964	0.81162948705908	-1.13826534502999	1.62433649315422	-0.476750851126993	-0.393914783555518	-0.697465244264054	-0.538904393289184	1.39312444683638	-0.426344908306843	0.634787205205194	-0.655162387400467	0.716957419737761
WYC43	-0.608571951009998	-0.929284204047415	-0.500102678943881	-0.0442070985180089	-0.438725165812076	-0.413100697503855	-0.310779103245212	-0.111711440336102	0.313009693381365	-1.15827399073725	0.340628576929659	-0.476750851126993	-0.773481876001083	-0.697465244264054	-0.576078642592853	1.2061653935252	0.588472705430765	-0.558435791975971	-0.37435916319196	-0.816156921904776
WP15	-0.608571951009998	-0.0971976374703818	4.65143043434949	1.0819715583208	-0.438725165812076	0.158595958929346	-0.543347636242748	-0.754382767149575	0.22240642432147	-0.892975517230384	1.4071244048249	-0.476750851126993	-0.857974975471802	-0.697465244264054	-0.608077677951974	0.285256637819571	1.48939189512548	-0.75528011576542	0.411304450867903	0.861137543990189
WP09	-0.132356388179333	0.437836190941799	0.238337641212984	-0.342749867624864	-0.438725165812076	-0.413100697503855	2.65101610875044	-0.512594656466695	0.0996016036685688	-0.79236627533076	0.785566866275221	-0.476750851126993	-0.74022469574504	-0.697465244264054	-0.401626877702241	-0.499993653900545	6.18718628158502	-0.889701097682613	-0.503294648482266	0.0733675839117266
