# >> Output from SampleProps2TaxaClusters.pl <<
# >> Input file for the list of clusters: Clusters-NL_Average_StopStep-91_Network_BasisCor_SparCC_GT0.2_pval0.01_FunGroups_Time0_Paenibacillus.txt
# >> Input file for samples to taxa matrix: composition_otu_matched.csv
# >> Identifiers of the clusters: 
# >> :  1 2 3 5 8 13 14 16 17 18 20 22 23 24 27 28 35 39 45
# >> Labels of the clusters: 
# >> :  Yellow Red Green Orange LightGreen OliveBrown Pink Black
# >> This output file: SamplePropsOFtaxaClus_Time0_NL_Average_StopStep-91_AbundMax.dat
# >> Running at date:  (mm,dd,yy) 4, 3, 2021, and time: 1:6:13,
# >> Theoretical biology, ETH-Zürich, A.P-G.
#WARNING: Abundances values are LOG-transformed 
# 
Sample	C1	C2	C3	C5	C8	C13	C14	C16	C17	C18	C20	C22	C23	C24	C27	C28	C35	C39	C45	Total 
AE112	0.693147180559945	5.08140436498446	0	1.38629436111989	0	1.09861228866811	1.6094379124341	0.693147180559945	2.19722457733622	3.17805383034795	3.13549421592915	0	0.693147180559945	0	0.693147180559945	2.39789527279837	1.38629436111989	1.6094379124341	0	230.286652135017
WYT10	3.58351893845611	7.20266119652324	3.63758615972639	0.693147180559945	0	1.94591014905531	0	7.11069612297883	2.07944154167984	8.8180382503943	2.77258872223978	2.30258509299405	2.39789527279837	0	3.3322045101752	1.09861228866811	1.09861228866811	3.25809653802148	2.484906649788	277.172987438564
BB67	0	8.63550941823428	1.09861228866811	5.35185813347607	0.693147180559945	3.85014760171006	1.38629436111989	1.6094379124341	1.09861228866811	3.13549421592915	6.53378883793334	0	2.30258509299405	1.38629436111989	0.693147180559945	0	4.77912349311153	5.63121178182137	1.94591014905531	270.216057781456
PH04	4.58496747867057	7.19067603433221	0	2.56494935746154	1.38629436111989	0.693147180559945	2.56494935746154	6.72142570079064	6.68210859744981	8.0323601479245	3.25809653802148	1.09861228866811	1.79175946922805	0	3.17805383034795	0.693147180559945	0.693147180559945	5.59842195899838	8.76045304631527	308.796433714097
BWd06	1.6094379124341	6.65929391968364	0	0.693147180559945	0	1.6094379124341	1.38629436111989	2.63905732961526	0.693147180559945	9.58252442551568	4.39444915467244	1.09861228866811	1.09861228866811	1.09861228866811	1.6094379124341	0	1.6094379124341	2.56494935746154	3.58351893845611	230.520581036809
SAC04	1.09861228866811	8.0861025356691	5.4249500174814	2.07944154167984	0.693147180559945	2.07944154167984	1.38629436111989	2.70805020110221	0.693147180559945	4.87519732320115	7.26192709270275	3.89182029811063	2.39789527279837	6.28599809450886	1.6094379124341	0	0	5.54126354515843	7.19743535409659	381.257353825533
BB45	0.693147180559945	7.71467747380093	0.693147180559945	3.80666248977032	0	0.693147180559945	0.693147180559945	5.37063802812766	4.89034912822175	3.29583686600433	6.72383244082121	0	1.94591014905531	0	1.09861228866811	4.72738781871234	0	3.87120101090789	1.94591014905531	325.474528962588
WYC43	0	5.36129216570943	0	2.19722457733622	0	0.693147180559945	1.09861228866811	2.89037175789616	2.484906649788	3.58351893845611	3.71357206670431	0	0.693147180559945	0	1.79175946922805	3.76120011569356	3.46573590279973	1.38629436111989	2.39789527279837	215.03757957377
WP15	0	8.25842246245888	6.7719355558396	5.2040066870768	0	1.6094379124341	0	1.38629436111989	2.07944154167984	4.89034912822175	5.82600010738045	0	0.693147180559945	0	1.6094379124341	3.78418963391826	3.43398720448515	1.79175946922805	6.54678541076052	335.860455603833
WP09	1.38629436111989	8.46358142196759	1.38629436111989	1.09861228866811	0	0.693147180559945	5.85220247977447	1.38629436111989	2.19722457733622	5.65248918026865	7.19218205871325	0	1.38629436111989	0	1.38629436111989	0.693147180559945	7.30114780585603	1.09861228866811	2.70805020110221	279.113930672099
