community,sbw25.cfu.24h,sbw25.cfu.96h,sbw25.cfu.7d,kt2440.cfu.24h,kt2440.cfu.96h,kt2440.cfu.7d
WYC12,78801.94942,18520.72576,6256.918129,8888.142128,4554.781624,5430.475662
WYC13,101290.6941,8517.05364,2449.210834,3451.152484,5721.17706,2782.879752
WYC16,81356.9258,12834.5048,6256.918129,16925.80657,9743.931799,3967.581932
WYC17,14792.27452,6056.337933,16441.70007,8029.303812,7454.880374,8315.942193
WYC18,34872.00465,6458.372853,10215.14385,7382.965246,2782.879752,4847.315232
WYC19,19807.22972,3170.387105,2987.771737,3672.804842,5721.17706,6878.821474
WYC20,52908.86485,7684.411542,4678.686857,6517.889569,8315.942193,8888.142128
WYC21,39090.56232,4103.915537,7478.097603,5212.074645,2782.879752,5721.17706
WYC22,61656.9344,12834.5048,21817.74008,11022.51499,1578.64366,8315.942193
WYC23,18404.35651,3354.438517,6256.918129,10170.77525,6300.979262,5721.17706
WYC24,59811.11694,15074.96015,21579.85604,10809.81467,7742.28822,6011.335558
WYC25,32787.88606,6458.372853,15074.96015,7382.965246,4261.554343,6011.335558
WYC27,33543.73148,3726.622614,2098.711228,2334.125101,7454.880374,4554.781624
WYC28,542652.1719,38190.31158,6660.682124,12083.81153,7454.880374,6011.335558
WYC29,78377.19874,7067.789166,9573.49395,7814.078284,2484.035699,4847.315232
WYC30,18055.84785,6056.337933,31345.79083,5430.475662,1272.95896,8029.303812
WYC31,19104.04928,6056.337933,9573.49395,8673.730867,3967.581932,5139.20007
WYC32,20690.97204,4678.686857,9360.879734,4554.781624,3967.581932,8029.303812
WYC33,448117.2349,23733.24656,7272.551554,8673.730867,2782.879752,4261.554343
WYC34,38318.7446,7272.551554,6056.337933,6083.793711,4847.315232,7742.28822
WYC35,15813.28632,2987.771737,4678.686857,2558.864999,6878.821474,5721.17706
WYC36,55331.81764,7684.411542,5263.200747,5648.553772,5721.17706,3672.804842
WYC37,211417.4074,11296.67764,3726.622614,5866.322346,4261.554343,5430.475662
WYC38,70576.83549,21817.74008,13056.32068,26468.50087,7167.064008,4554.781624
WYC39,320255.1168,76610.77062,19689.79469,18179.90044,5139.20007,5721.17706
WYC40,12447.57709,4872.485151,3726.622614,4774.244306,2484.035699,5430.475662
WYC43,32787.88606,10000.63605,3914.653454,4334.928884,3672.804842,3080.544881
WYD01,5214.139736,5067.332979,2806.655955,253.293549,8029.303812,4261.554343
WYD02,6863.826931,2273.04561,5263.200747,6734.534456,6878.821474,7167.064008
WYD03,30347.84279,11733.32845,4103.915537,21716.6131,5139.20007,2782.879752
WYD04,12447.57709,3354.438517,2627.109787,4774.244306,8888.142128,2183.859026
WYD05,10161.45919,3539.86804,4678.686857,6734.534456,7742.28822,6011.335558
WYD07,14454.01574,8726.992748,3726.622614,3893.965628,3080.544881,5721.17706
WYD08,7632.761904,5067.332979,2806.655955,3451.152484,10312.90861,6300.979262
WYD10,5657.886392,3539.86804,6256.918129,5648.553772,6011.335558,8602.217309
WYD11,21045.91757,10215.14385,4294.367171,8244.317181,8888.142128,6590.133557
WYD12,6256.918129,3354.438517,4103.915537,3451.152484,6878.821474,4554.781624
WYM01,26096.29103,11296.67764,10645.9852,8888.142128,5139.20007,9458.988437
WYM03,25730.78526,4872.485151,4872.485151,8244.317181,6878.821474,4261.554343
WYM04,69113.76614,16212.80285,13724.81206,14617.50585,6590.133557,2183.859026
WYM05,102830.8628,10862.3006,9360.879734,5212.074645,5430.475662,6300.979262
WYM06,20336.84905,9360.879734,2806.655955,6734.534456,3967.581932,5139.20007
WYM07,50500.84711,15984.34235,8937.617946,12295.64968,6011.335558,8029.303812
WYM08,16843.30779,4103.915537,5460.060625,6083.793711,5721.17706,3080.544881
WYM09,23012.38108,7478.097603,13724.81206,8244.317181,4554.781624,6011.335558
WYM10,7478.097603,6863.826931,5067.332979,4774.244306,7454.880374,4261.554343
WYM11,14623.0127,1422.135573,2806.655955,4993.336162,6300.979262,7454.880374
WYM12,43567.78769,10000.63605,5657.886392,10809.81467,5430.475662,3672.804842
WYM13,21401.67551,6056.337933,5263.200747,4554.781624,6011.335558,8888.142128
WYM14,14285.28589,7272.551554,4678.686857,5430.475662,3672.804842,4847.315232
WYM15,44943.19665,19689.79469,12172.19098,4114.66479,6300.979262,4261.554343
WYM16,23372.43751,6660.682124,8726.992748,5430.475662,4847.315232,6878.821474
WYM17,120872.2487,27626.62809,93203.23019,9102.363163,4261.554343,5430.475662
WYM18,48505.94565,15756.32314,15301.62722,14407.02318,964.5194519,5721.17706
WYM19,38704.39297,11296.67764,6660.682124,42175.15879,5721.17706,7454.880374
WYM20,41029.09431,7891.47828,2806.655955,5866.322346,5430.475662,4554.781624
WYM24,33543.73148,10645.9852,5657.886392,29345.22933,4847.315232,6878.821474
WYM26,79227.01031,18987.18909,6863.826931,22752.63166,334.2931985,8029.303812
WYM28,10970.67816,5263.200747,4294.367171,3893.965628,5430.475662,6590.133557
WYM30,14792.27452,5067.332979,3539.86804,7814.078284,4261.554343,4554.781624
WYM31,7323.865226,6458.372853,1422.135573,3006.231993,3080.544881,5721.17706
WYM32,12945.34841,7684.411542,3539.86804,4334.928884,4261.554343,4554.781624
WYM34,16327.19715,5657.886392,3354.438517,7814.078284,3377.153379,4261.554343
WYM35,47909.61475,14172.94886,7478.097603,11871.8366,6590.133557,6011.335558
WYM36,36016.01327,12613.20679,8517.05364,15458.33826,6300.979262,6011.335558
WYM37,10161.45919,5657.886392,6256.918129,8673.730867,4554.781624,3672.804842
WYM38,9680.042191,3354.438517,2627.109787,6734.534456,6590.133557,3967.581932
WYM40,10000.63605,4294.367171,5263.200747,5212.074645,1578.64366,3377.153379
WYM41,18578.94757,7067.789166,6256.918129,8029.303812,3377.153379,4261.554343
WYM42,26096.29103,10430.2633,10430.2633,8029.303812,4554.781624,5139.20007
WYM43,38126.11698,6056.337933,29106.6418,22338.43711,1578.64366,10880.73175
WYM44,319998.2604,61862.49201,25426.7328,233847.0241,12577.89213,11447.46578
WYT01,36016.01327,8569.473432,7478.097603,29140.10525,5866.322346,5139.20007
WYT02,15471.92674,5509.427505,3170.387105,2782.879752,1654.707322,5721.17706
WYT03,95380.00589,23552.74849,7272.551554,5866.322346,1426.103383,4261.554343
WYT04,15471.92674,7016.722931,2987.771737,6083.793711,4334.928884,6590.133557
