Community,kt2440.cfu.24h,kt2440.cfu.96h,kt2440.cfu.7d,sbw25.cfu.24h,sbw25.cfu.96h,sbw25.cfu.7d
BB83,3006.231993,0,0,14623.0127,0,0
BB84,17553.26582,0,0,44943.19665,12117.21424,353.3291292
BB85,112915.3055,0,0,360656.4928,100192.5089,16900.78704
BB86,10596.96018,0,0,85639.34706,15984.34235,1755.989963
BB87,13985.71629,0,0,100192.5089,22653.08581,5067.332979
BB89,15458.33826,0,0,123352.0098,34491.78684,18055.84785
BB90,139933.6439,0,0,516804.1589,106805.5871,34618.46337
BB91,22131.23411,0,0,71834.17514,12945.34841,941.4156051
BB92,148830.8081,0,0,283816.2132,74990.5102,11296.67764
BB93,28729.6972,0,0,90816.70734,30161.21686,3539.86804
BB94,11659.72226,0,0,42003.06883,9201.84628,99.16102331
BB97,15458.33826,0,0,100631.5884,39283.84119,16671.02958
BB98,15458.33826,0,0,78377.19874,17361.56887,8726.992748
BB99,34864.81726,0,0,111022.9602,44943.19665,4485.969635
SNG01,22752.63166,0,0,17188.57919,353.3291292,2273.04561
SNG02,0,0,0,8884.89798,1098.638664,9520.279867
LW01,0,0,0,43567.78769,0,0
LW02,32824.57048,0,0,79227.01031,71.09463963,0
LW03,1196.136377,0,0,41808.02684,0,0
LW04,0,0,0,29230.44483,0,0
LW05,0,0,0,29974.74716,0,0
LW06,0,0,0,57158.54334,0,353.3291292
LW07,0,0,0,16843.30779,0,0
LW08,0,0,0,42003.06883,0,0
LW09,0,0,0,17534.79225,0,0
LW10,0,0,0,52506.47794,3216.267682,0
LW11,0,0,0,49302.59869,0,1422.135573
LW12,253.293549,0,0,28303.66902,0,637.9251243
HW01,0,0,0,564.7374563,0,0
HW02,0,0,0,0,0,0
HW03,0,0,0,787.6816644,0,0
HW04,0,0,0,1755.989963,0,0
HW05,0,0,0,3078.896085,0,0
HW06,0,0,0,158.4922935,0,0
HW07,0,0,0,0,0,0
HW08,0,0,0,158.4922935,0,0
HW09,0,0,0,0,0,0
HW10,0,0,0,0,0,0
HW11,0,0,0,0,0,0
HW12,0,0,0,0,0,221.0610828
HW13,0,0,0,253.3233954,0,0
HW14,0,0,0,0,0,0
HW15,0,0,0,0,0,0
HW16,0,0,0,0,0,0
WP01,3451.152484,0,0,24094.79984,4342.161349,0
WP02,15878.11809,0,0,42393.52051,5657.886392,0
WP03,11871.8366,0,0,37164.96389,3914.653454,253.3233954
WP04,55662.17058,0,0,183512.3977,25001.88603,2142.117415
WP05,61660.31169,1882.150821,0,270466.2159,35062.32464,7016.722931
WP06,37104.03126,0,0,98876.83603,23733.24656,2012.264366
WP07,42579.84318,0,0,178281.8494,17015.82491,2806.655955
WP08,336856.8187,4993.336162,0,936935.0225,105920.5558,38318.7446
WP09,58664.06404,0,0,189002.36,28303.66902,4056.486921
WP10,206996.2314,0,0,553702.5688,71624.41007,17708.24764
WP11,87034.14903,0,0,299032.5614,36589.87795,9840.162338
WP12,603659.4637,43590.93813,3006.231993,2776232.289,323082.3749,70158.3927
WP13,603292.4697,29345.22933,0,2907756.727,273229.7843,60220.64082
WP14,285335.2703,0,0,828215.5489,70576.83549,21579.85604
WP15,335356.8761,1654.707322,0,2472655.121,154076.304,51301.82917
WP16,472815.3356,12930.36827,3672.804842,2787935.728,227279.4375,68071.27307
BW01,0,0,0,0,0,0
BW02,0,0,0,0,0,0
BW03,0,0,0,0,0,0
BW04,0,0,0,0,0,0
BW05,0,0,0,0,0,0
BW06,0,0,0,0,0,0
BW07,0,0,0,0,0,0
BW08,0,0,0,0,0,0
BW09,0,0,0,0,0,0
BW10,0,0,0,0,0,0
BW11,0,0,0,0,0,0
BW12,0,0,0,0,0,0
BW13,0,0,0,0,0,637.9251243
BW14,0,0,0,0,0,0
BW15,0,0,0,0,0,0
BW16,0,0,0,0,0,0
BW17,0,0,0,0,0,0
BW18,0,0,0,1755.989963,0,0
BW19,253.293549,0,0,20868.34263,0,0
BW20,0,0,0,902.6382717,0,0
BW21,0,0,0,787.6816644,0,0
BW22,9957.437716,0,0,16498.99209,1098.638664,0
BW23,177137.614,9458.988437,964.5194519,313329.839,72954.31915,18288.0868
BW24,16087.85424,0,0,24638.50742,8099.283359,941.4156051
WYD01,0,0,0,0,0,0
WYD02,0,0,0,353.3291292,0,0
WYD03,11659.72226,0,0,21579.85604,4294.367171,0
WYD04,0,0,0,4921.099902,0,0
WYD05,0,0,0,2942.349589,0,0
WYD07,0,0,0,6711.390716,1755.989963,0
WYD08,0,0,0,902.6382717,0,0
WYD10,0,0,0,0,0,0
WYD11,0,0,0,12779.13149,2987.771737,0
WYD12,0,0,0,0,0,0
BCW01,8544.990711,0,0,2369828.523,65370.94816,14217.86926
BCW02,0,0,17678.65771,162200.7246,5214.139736,787.6816644
BCW03,4026.438751,0,0,18334.58271,5361.508347,0
BCW04,14827.87702,0,0,51622.6982,12945.34841,0
BCW05,351805.4802,14827.87702,0,1231540.611,176148.02,21010.3863
BCW06,53737.84598,0,0,190438.1081,21936.81417,4717.361069
BCW07,964.5194519,253.293549,0,20301.48239,10322.6277,0
BCW08,0,0,0,4601.468403,1138.443906,787.6816644
BCW09,102357.1963,0,0,876605.2919,53110.214,17916.69803
BCW10,22669.81511,0,0,151752.2594,7632.761904,2806.655955
BCW11,4026.438751,0,0,13546.10706,2142.117415,0
BCW12,3139.947641,0,0,27823.35626,6559.42188,353.3291292
BCW13,43752.63272,0,0,180704.3749,26279.30478,5302.494215
BCW14,429079.6273,16925.80657,4202.821249,2016050.723,159907.1113,38858.7984
BCW15,43267.48262,253.293549,0,168966.4368,6256.918129,0
BCW16,777.7522625,0,0,12878.82675,3216.267682,0
BCW17,18513.77899,0,0,72674.06335,7016.722931,10645.9852
BCW18,2603.723794,0,0,23733.24656,564.7374563,353.3291292
BCW19,16339.40495,0,0,31395.8025,0,3133.7472
BCW20,28113.67925,0,0,143794.6134,11623.95604,3465.534355
BCW21,26962.43939,0,0,108489.8803,8884.89798,2915.141709
BCW22,428633.6626,22131.23411,0,2003928.913,170946.766,39786.96807
BCW23,34987.0898,0,0,132061.0567,11952.48698,2484.654836
BCW24,0,0,0,8726.992748,6863.826931,4833.64055
BCW25,5430.475662,0,0,89907.71297,5067.332979,3243.838706
BCW26,2063.372634,0,0,43685.45237,1258.977261,6136.463746
WGP01,8244.317181,0,0,42784.4597,13613.08426,2098.711228
WGP02,5648.553772,0,0,17534.79225,9201.84628,2806.655955
WGP03,145931.7681,0,0,320768.9133,83066.32083,11733.32845
WGP04,17344.20594,0,0,73304.84394,23733.24656,7067.789166
WGP05,11235.06434,0,0,29044.767,15984.34235,3539.86804
WGP06,8459.124327,0,0,35252.7846,13445.72534,1755.989963
WGP07,11022.51499,0,0,45929.14324,5509.427505,221.0610828
WGP08,10170.77525,0,0,38318.7446,8884.89798,5856.653297
WGP09,11659.72226,0,0,92334.43478,27749.56105,10215.14385
WGP10,0,0,0,3354.438517,75835.27846,4872.485151
WGP11,4114.66479,0,0,13445.72534,11296.67764,0
WGP12,2558.864999,0,0,17015.82491,56751.91158,3539.86804
WGP13,9743.931799,0,0,32034.39264,16155.6466,3914.653454
WGP14,0,0,0,5657.886392,2273.04561,353.3291292
WGP15,0,0,0,7016.722931,0,0
WGP16,0,0,0,3633.082838,0,0
WGP17,0,0,0,4485.969635,353.3291292,0
WGP18,0,0,0,1019.616505,0,0
WGP19,5212.074645,0,0,16155.6466,353.3291292,0
WGP20,9102.363163,0,0,20513.80708,2273.04561,0
WEL01,0,0,0,694515.5608,29044.767,0
WEL02,0,0,0,348935.9876,10161.45919,0
WEL03,0,0,0,573946.4242,20336.84905,0
WEL04,494.2737652,0,0,677997.6372,26462.49127,0
WEL05,0,0,0,680841.7071,21936.81417,0
WEL06,0,0,0,718245.8793,25183.8445,0
WEL07,0,0,0,632715.5299,18753.76105,0
WEL08,7814.078284,0,0,588147.1886,32976.62845,0
WEL09,0,0,0,693659.8687,23552.74849,0
WEL10,0,0,0,236376.7099,8412.345192,0
WEL11,0,0,0,599597.3037,23012.38108,0
WEL12,494.2737652,0,0,616406.96,11952.48698,0
WEL13,2108.584595,0,0,557854.2106,13613.08426,0
WEL14,0,0,0,681979.786,21401.67551,0
WEL15,0,0,0,619495.525,19807.22972,0
WEL16,0,0,1272.95896,596242.9594,28488.69999,0
WEL17,0,0,0,649929.255,26279.30478,0
WEL18,0,0,0,194514.0014,1629.686273,0
WEL19,0,0,0,562841.7064,22115.58939,0
WEL20,0,0,0,606033.5618,22473.72636,0
WEL22,0,0,0,631025.7692,23192.31469,0
WEL23,0,0,0,592053.6207,24457.08921,0
WEL24,0,0,0,635533.1554,39283.84119,0
WEL25,17135.05326,0,0,137452.6828,9840.162338,787.6816644
WEL26,21509.19362,0,0,204149.7769,11788.06654,0
WYC01,31189.01781,334.2931985,0,208748.6175,34618.46337,11296.67764
WYC03,0,0,0,43763.91935,2987.771737,2987.771737
WYC04,2108.584595,0,0,35443.38399,2987.771737,492.814623
WYC05,0,0,0,11296.67764,0,0
WYC06,0,0,0,5657.886392,0,221.0610828
WYC07,0,0,0,5361.508347,0,0
WYC08,0,0,0,2806.655955,0,0
WYC09,4993.336162,0,0,43567.78769,2098.711228,0
WYC10,50444.52646,0,0,480802.0229,51301.82917,16900.78704
WYC11,27497.16405,0,0,93855.54766,32097.09295,5856.653297
WYC12,0,0,0,68696.51157,10430.2633,0
WYC13,0,0,0,90816.70734,1587.873057,0
WYC16,6734.534456,0,0,71205.12955,5263.200747,0
WYC17,0,0,0,7016.722931,0,8517.05364
WYC18,0,0,0,25913.45089,99.16102331,2987.771737
WYC19,0,0,0,11623.95604,0,0
WYC20,0,0,0,43371.77549,941.4156051,0
WYC21,0,0,0,29974.74716,0,787.6816644
WYC22,494.2737652,0,0,51903.68035,5263.200747,13501.48048
WYC23,0,0,0,10322.6277,0,0
WYC24,253.293549,0,0,50100.99852,7272.551554,13278.64799
WYC25,0,0,0,23913.93068,99.16102331,7272.551554
WYC27,0,0,0,24638.50742,0,0
WYC28,1654.707322,0,0,529431.8448,29106.6418,221.0610828
WYC29,0,0,0,68279.59987,492.814623,2449.210834
WYC30,0,0,0,10000.63605,0,22533.49139
WYC31,0,0,0,10970.67816,0,2449.210834
WYC32,0,0,0,12447.57709,0,2273.04561
WYC33,0,0,0,435239.0219,15301.62722,637.9251243
WYC34,0,0,0,29230.44483,637.9251243,0
WYC35,0,0,0,7943.360882,0,0
WYC36,0,0,0,45731.72254,941.4156051,0
WYC37,0,0,0,199805.877,3914.653454,0
WYC38,16507.02613,0,0,60630.54212,13501.48048,5460.060625
WYC39,8029.303812,0,0,307957.7807,66546.19233,11514.72279
WYC40,0,0,0,4921.099902,0,0
WYC43,0,0,0,23913.93068,2806.655955,0
WiW01,0,0,0,22115.58939,9201.84628,2012.264366
WiW02,0,0,0,13445.72534,1019.616505,902.6382717
WiW03,0,0,0,10000.63605,4198.995146,158.4922935
WiW04,0,0,0,18055.84785,1381.09559,0
WiW05,0,0,0,113474.6031,0,0
WiW06,1654.707322,0,0,32222.54332,7632.761904,4198.995146
WiW07,9957.437716,0,0,43960.17011,12282.24527,253.3233954
WiW08,0,0,0,29416.28249,23733.24656,1019.616505
WiW09,0,0,0,17534.79225,1258.977261,1138.443906
WiW10,2108.584595,0,0,77528.63293,0,0
WiW11,0,0,0,9201.84628,353.3291292,0
WiW12,0,0,0,83494.41871,0,0
WiW13,0,0,0,1568342.471,0,20336.84905
WiW14,7382.965246,0,0,134479.104,1504.695226,1019.616505
WiW15,115451.5201,0,0,359612.5542,53714.88074,17015.82491
WiW16,8459.124327,0,0,50300.86902,8099.283359,2142.117415
WiW17,3893.965628,0,0,80078.05788,3914.653454,4485.969635
WiW18,93331.63686,0,0,1381989.481,50901.12482,17188.57919
WiW19,3451.152484,0,0,81570.3365,1258.977261,0
WiW20,0,0,0,31846.39147,0,0
WiW21,0,0,0,77528.63293,1019.616505,253.3233954
WiW22,0,0,0,22832.63775,0,0
WiW23,3228.974531,0,0,334941.55,18229.98941,3216.267682
WiW24,0,0,0,32787.88606,2671.845075,787.6816644
WiW25,0,0,0,17015.82491,2537.949228,674.9587786
WiW26,5430.475662,0,0,60835.63372,3078.896085,353.3291292
WiW27,0,0,0,10970.67816,0,0
WiW28,0,0,0,6559.42188,0,0
WiW29,9743.931799,0,0,27749.56105,24275.85301,3354.438517
