Community,kt2440.cfu.24h,kt2440.cfu.96h,kt2440.cfu.7d,sbw25.cfu.24h,sbw25.cfu.96h,sbw25.cfu.7d
AE136,0,0,0,65163.84732,5460.060625,2142.117415
AE137,2782.879752,0,0,31846.39147,0,0
AE139,13774.8884,0,0,69322.52152,11079.20088,2142.117415
AE14,0,0,0,15813.28632,159205.8714,0
AE143,14827.87702,38729.41342,0,53513.22223,92045.08158,0
AE144,0,0,0,8726.992748,941.4156051,253.3233954
AE145,0,0,0,8412.345192,6660.682124,0
AE146,3672.804842,0,0,38511.50343,136994.637,0
AE147,12507.35358,0,0,37356.92819,15756.32314,71.09463963
AE149,3672.804842,0,0,179468.8088,18753.76105,1883.536669
AE15,0,15108.2014,0,3633.082838,41288.51793,0
AE150,3672.804842,50042.37023,0,133794.1489,147426.952,1883.536669
AE151,0,48700.98425,0,63923.12024,123352.0098,0
AE152,34660.99459,0,0,218962.9907,15301.62722,221.0610828
AE153,127131.2877,0,0,210446.4075,16671.02958,0
AE154,12083.81153,0,0,18055.84785,0,0
AE156,23993.57224,0,0,126291.3551,18288.0868,4485.969635
AE157,69227.45438,0,0,337009.889,4485.969635,35379.8354
AE158,4993.336162,0,0,35252.7846,0,637.9251243
AE159,19639.00822,0,0,139286.9283,2806.655955,0
AE16,0,652.3354368,0,2405.003393,492.814623,0
AE160,0,0,0,80717.14891,3170.387105,0
AE161,7814.078284,0,0,40640.37526,492.814623,0
AE162,0,0,0,8569.473432,221.0610828,0
AE163,0,0,0,53311.66655,0,492.814623
AE164,4334.928884,0,0,62685.64541,0,0
AE165,83681.84746,0,0,816541.307,8307.812915,1926.317549
AE166,4774.244306,0,0,72253.95401,1926.317549,2987.771737
AE167,0,0,0,15471.92674,0,2273.04561
AE168,0,0,0,14116.82546,941.4156051,0
AE169,0,0,0,6256.918129,0,0
AE17,18805.7409,1882.150821,0,8726.992748,20868.34263,1629.686273
AE170,0,0,0,10161.45919,0,0
AE171,7382.965246,0,0,49701.58154,0,0
AE173,7598.634315,0,0,76681.3228,353.3291292,1926.317549
AE174,1196.136377,0,0,123577.7797,7478.097603,1098.638664
AE175,0,0,0,18928.79545,353.3291292,492.814623
AE176,8888.142128,0,0,53916.64182,1098.638664,0
AE177,0,0,0,13948.63677,0,0
AE178,0,0,0,4056.486921,0,0
AE18,10809.81467,1882.150821,0,6863.826931,19221.00633,0
AE19,0,27565.69066,0,45929.14324,96689.31735,0
AE20,2334.125101,90578.47483,0,113697.8382,364313.4956,1504.695226
AE21,0,24269.01189,0,22832.63775,187249.5611,457.3677772
AE24,0,7742.28822,0,902.6382717,12613.20679,0
AE25,494.2737652,63389.02011,0,21579.85604,218475.1017,28488.69999
AE28,7167.064008,24819.54752,0,1053728.719,33102.53807,5806.874641
AE29,0,0,0,69949.29783,10215.14385,564.7374563
AE30,0,0,0,4775.452889,10430.2633,0
AE31,0,334.2931985,0,3633.082838,20631.89414,0
AE32,0,0,0,3493.38444,2449.210834,253.3233954
AE33,0,6011.335558,0,4342.161349,18288.0868,71.09463963
AE34,0,2782.879752,0,787.6816644,5067.332979,0
AE35,253.293549,47089.52039,0,3354.438517,8307.812915,0
AE36,0,1882.150821,0,50500.84711,941.4156051,0
AE37,3451.152484,0,0,4198.995146,99.16102331,0
AE38,0,0,0,4342.161349,30099.0429,0
AE39,0,0,0,902.6382717,13501.48048,0
AE40,0,0,0,1258.977261,2273.04561,0
AE41,0,0,0,3078.896085,6660.682124,0
AE42,0,4847.315232,0,787.6816644,14623.0127,0
AE43,0,0,0,158.4922935,3170.387105,0
AE44,0,964.5194519,0,1019.616505,787.6816644,0
AE45,0,1272.95896,0,1019.616505,1098.638664,0
AE46,964.5194519,0,0,2806.655955,2627.109787,0
AE47,0,0,0,0,1258.977261,0
AE48,0,0,0,564.7374563,1926.317549,674.9587786
AE49,0,6300.979262,0,9520.279867,19221.00633,0
AE51,0,3080.544881,0,353.3291292,15984.34235,0
AE53,0,0,0,564.7374563,221.0610828,0
AE54,0,0,0,0,3539.86804,0
AE55,1426.103383,964.5194519,0,787.6816644,0,71.09463963
AE56,0,0,0,0,1926.317549,0
AE57,0,0,0,3216.267682,1755.989963,0
AE58,0,3377.153379,0,787.6816644,9786.749463,0
AE59,0,0,0,0,0,0
AE60,0,0,0,353.3291292,0,0
AE61,0,0,0,0,0,0
AE62,0,0,0,0,0,0
AE63,1196.136377,0,0,0,0,0
AE64,0,0,0,0,0,0
AE65,0,0,0,3773.512494,3354.438517,0
AE66,0,0,0,902.6382717,221.0610828,0
AE67,0,0,0,564.7374563,0,0
AE68,13141.6837,0,0,14116.82546,1926.317549,0
AE69,0,0,0,1138.443906,0,0
AE70,0,0,0,0,0,0
AE71,0,0,0,0,0,0
AE72,1882.150821,0,0,2405.003393,0,353.3291292
AE73,0,334.2931985,0,3493.38444,5263.200747,0
AE74,8029.303812,0,0,353.3291292,4678.686857,0
AE76,0,0,0,1755.989963,0,0
AE77,0,0,0,564.7374563,5657.886392,8726.992748
AE78,0,0,0,787.6816644,0,23372.43751
AE79,0,0,0,3216.267682,0,0
AE80,0,0,0,18753.76105,0,0
AE81,35068.59609,0,0,308468.8625,0,0
AE82,0,0,0,26462.49127,0,0
AE83,0,0,0,16155.6466,1098.638664,0
AE84,0,0,0,11296.67764,3539.86804,10215.14385
AE85,13563.94167,0,0,91900.45113,113772.263,5856.653297
AE86,0,0,0,8099.283359,5657.886392,0
AE87,0,0,0,5806.874641,0,0
AE88,0,0,0,10645.9852,0,0
AE89,0,0,0,32787.88606,0,0
AE90,0,0,0,17015.82491,99.16102331,637.9251243
AE91,0,0,0,12779.13149,221.0610828,7067.789166
AE94,0,0,0,10000.63605,99.16102331,0
AE96,9530.253536,0,0,35824.99887,2098.711228,0
AE99,37104.03126,0,0,115485.8482,13724.81206,6056.337933
SP10,0,0,0,4056.486921,0,0
SP11,0,0,0,4342.161349,0,253.3233954
SP12,0,0,0,15471.92674,0,26829.37895
SP13,0,0,0,0,0,1381.09559
SP14,11871.8366,0,0,0,0,787.6816644
SP15,0,0,0,0,99.16102331,0
SP16,0,0,0,564.7374563,0,0
SP17,0,0,0,564.7374563,0,0
BWd01,14196.42726,0,0,20160.09926,2537.949228,0
BWd02,0,0,0,1138.443906,0,0
BWd03,0,0,0,457.3677772,0,0
BWd04,0,0,0,3493.38444,0,0
BWd05,0,0,0,4630.404923,0,353.3291292
BWd06,12507.35358,0,0,35824.99887,12282.24527,2098.711228
BWd07,125576.3484,0,0,346598.2134,57158.54334,16900.78704
OWW01,20263.10262,0,0,33543.73148,3633.082838,787.6816644
OWW02,0,0,0,12117.21424,3914.653454,941.4156051
OWW03,0,0,0,4342.161349,158.4922935,0
OWW04,0,0,0,6559.42188,0,0
OWW05,0,0,0,7016.722931,674.9587786,0
OWW06,0,0,0,11296.67764,902.6382717,0
OWW07,11235.06434,0,0,26645.84961,1504.695226,0
OWW08,20886.49021,0,0,90816.70734,31470.84022,7891.47828
OWW09,207568.8061,0,0,358829.8693,63923.12024,14397.74266
OWW10,17553.26582,0,0,24457.08921,1138.443906,0
OWW11,0,0,0,1629.686273,0,0
OWW12,0,0,0,18229.98941,0,0
OWW13,0,0,0,3773.512494,0,0
OWW14,0,0,0,11952.48698,6559.42188,0
OWW15,0,0,0,1258.977261,0,0
OWW16,0,0,0,1755.989963,0,0
