OTU1	OTU2	corr	type
pseudomonas.thivervalensis	citrobacter.werkmanii	0.431892298818662	NA
acinetobacter.johnsonii	acinetobacter.junii	0.427217831892828	NA
acinetobacter.calcoaceticus	acinetobacter.junii	0.332267097166347	NA
pseudomonas.rhizosphaerae	novosphingobium.subarcticum	0.364297351325992	NA
klebsiella.pneumoniae	novosphingobium.subarcticum	0.303525368906884	NA
pseudomonas.vranovensis	novosphingobium.subarcticum	0.38972183149904	NA
pseudomonas.lutea	novosphingobium.subarcticum	0.33616531424323	NA
novosphingobium.spp.	novosphingobium.subarcticum	0.38170749810414	NA
renibacterium.salmoninarum	arthrobacter.sp.	0.318108554606367	NA
paenibacillus.borealis	paenibacillus.wynnii	0.837205042241483	NA
pseudomonas.rhizosphaerae	pseudomonas.veronii	0.340515567605565	NA
pseudomonas.marincola	pseudomonas.veronii	0.305777481324905	NA
pseudomonas.vranovensis	pseudomonas.veronii	0.331112393772274	NA
pseudomonas.plecoglossicida	pseudomonas.veronii	0.368673477319068	NA
pseudomonas.tolaasii	pseudomonas.veronii	0.365803190512966	NA
pseudomonas.thivervalensis	pseudomonas.veronii	0.589365164429615	NA
caenimonas.spp.	delftia.lacustris	0.572278314186165	NA
paucimonas.spp.	delftia.lacustris	0.306440354936473	NA
leptothrix.spp.	delftia.lacustris	0.665087399705279	NA
acidovorax.spp.	delftia.lacustris	0.397951049347972	NA
escherichia_shigella.spp.	serratia.liquefaciens	0.592178669477809	NA
pantoea.agglomerans	serratia.liquefaciens	0.326647718404394	NA
pseudomonas.rhizosphaerae	stenotrophomonas.rhizophila	0.336141288056692	NA
klebsiella.pneumoniae	stenotrophomonas.rhizophila	0.341521119489732	NA
pseudomonas.vranovensis	stenotrophomonas.rhizophila	0.330863063466572	NA
pantoea.agglomerans	stenotrophomonas.rhizophila	0.306648385235009	NA
stenotrophomonas.chelatiphaga	stenotrophomonas.rhizophila	0.411303286507035	NA
pseudomonas.plecoglossicida	stenotrophomonas.rhizophila	0.318978393817479	NA
citrobacter.werkmanii	stenotrophomonas.rhizophila	0.332880663709509	NA
nitratireductor.spp.	phyllobacterium.trifolii	0.409406986741405	NA
